pulseheight,counts_ch_A,counts_ch_B
2.525252525252525,0,0
7.575757575757575,0,0
12.626262626262626,0,0
17.676767676767675,0,0
22.727272727272727,573,0
27.77777777777778,951,0
32.82828282828282,1124,0
37.878787878787875,1220,0
42.92929292929293,1200,0
47.97979797979798,1277,0
53.03030303030303,1359,0
58.080808080808076,1344,0
63.13131313131312,1334,0
68.18181818181817,1377,0
73.23232323232322,1456,0
78.28282828282828,1761,0
83.33333333333333,1749,0
88.38383838383838,1492,0
93.43434343434343,1213,0
98.48484848484848,1130,0
103.53535353535352,997,0
108.58585858585857,877,0
113.63636363636363,844,0
118.68686868686868,751,0
123.73737373737373,740,0
128.78787878787878,729,0
133.83838383838383,660,0
138.88888888888886,648,0
143.93939393939394,613,0
148.98989898989896,649,0
154.04040404040404,629,0
159.09090909090907,619,0
164.14141414141415,590,0
169.19191919191917,605,0
174.24242424242425,616,0
179.29292929292927,514,0
184.34343434343435,427,0
189.39393939393938,367,0
194.44444444444446,279,0
199.49494949494948,184,0
204.54545454545453,166,0
209.59595959595958,155,0
214.6464646464646,203,0
219.6969696969697,428,0
224.7474747474747,1194,0
229.7979797979798,2623,0
234.84848484848482,3600,0
239.8989898989899,2894,0
244.94949494949492,1394,0
250.0,407,0
255.05050505050502,83,0
260.10101010101005,27,0
265.1515151515151,22,0
270.2020202020202,20,0
275.25252525252523,13,0
280.30303030303025,23,0
285.35353535353534,12,0
290.4040404040404,18,0
295.45454545454544,14,0
300.50505050505046,14,0
305.55555555555554,17,0
310.6060606060606,13,0
315.65656565656565,19,0
320.70707070707067,16,0
325.75757575757575,15,0
330.8080808080808,13,0
335.8585858585858,11,0
340.9090909090909,6,0
345.95959595959596,6,0
351.010101010101,2,0
356.060606060606,3,0
361.1111111111111,5,0
366.16161616161617,2,0
371.2121212121212,1,0
376.2626262626262,5,0
381.3131313131313,1,0
386.3636363636364,1,0
391.4141414141414,1,0
396.4646464646464,0,0
401.5151515151515,0,0
406.5656565656566,0,0
411.61616161616155,2,0
416.66666666666663,2,0
421.7171717171717,5,0
426.76767676767673,1,0
431.81818181818176,2,0
436.86868686868684,3,0
441.9191919191919,0,0
446.96969696969694,1,0
452.02020202020196,0,0
457.07070707070704,2,0
462.1212121212121,1,0
467.17171717171715,0,0
472.2222222222222,1,0
477.27272727272725,1,0
482.32323232323233,2,0
487.3737373737373,1,0
492.4242424242424,1,0
497.47474747474746,1,0
