pulseheight,counts_ch_A,counts_ch_B
1.9607843137254901,0,0
5.88235294117647,0,0
9.80392156862745,7,0
13.72549019607843,21,0
17.64705882352941,30,0
21.56862745098039,69,0
25.49019607843137,114,0
29.41176470588235,255,0
33.33333333333333,850,0
37.25490196078431,1106,0
41.17647058823529,1786,0
45.09803921568627,1640,0
49.01960784313725,1907,0
52.94117647058823,2049,0
56.86274509803921,2104,0
60.78431372549019,2113,0
64.70588235294117,2356,0
68.62745098039215,2343,0
72.54901960784312,2192,0
76.47058823529412,2073,0
80.39215686274508,2276,0
84.31372549019608,2507,0
88.23529411764704,1788,0
92.15686274509804,1499,0
96.078431372549,1397,0
100.0,1243,0
103.92156862745097,1355,0
107.84313725490196,2069,0
111.76470588235293,961,0
115.68627450980392,975,0
119.60784313725489,802,0
123.52941176470588,856,0
127.45098039215685,1298,0
131.37254901960785,2729,0
135.2941176470588,615,0
139.21568627450978,592,0
143.13725490196077,646,0
147.05882352941177,666,0
150.98039215686273,888,0
154.9019607843137,4234,0
158.8235294117647,625,0
162.7450980392157,470,0
166.66666666666666,529,0
170.58823529411762,561,0
174.50980392156862,500,0
178.4313725490196,547,0
182.35294117647058,514,0
186.27450980392155,526,0
190.19607843137254,420,0
194.11764705882354,360,0
198.0392156862745,355,0
201.96078431372547,297,0
205.88235294117646,309,0
209.80392156862746,300,0
213.72549019607843,295,0
217.6470588235294,260,0
221.5686274509804,238,0
225.49019607843138,288,0
229.41176470588235,204,0
233.33333333333331,208,0
237.2549019607843,213,0
241.1764705882353,202,0
245.09803921568627,215,0
249.01960784313724,227,0
252.94117647058823,246,0
256.8627450980392,224,0
260.78431372549016,239,0
264.70588235294116,1180,0
268.62745098039215,1808,0
272.5490196078431,169,0
276.47058823529414,147,0
280.3921568627451,144,0
284.313725490196,150,0
288.2352941176471,158,0
292.156862745098,210,0
296.078431372549,141,0
300.0,140,0
303.92156862745094,181,0
307.843137254902,167,0
311.7647058823529,151,0
315.68627450980387,150,0
319.6078431372549,121,0
323.52941176470586,150,0
327.45098039215685,130,0
331.37254901960785,136,0
335.2941176470588,287,0
339.21568627450984,167,0
343.1372549019608,154,0
347.0588235294117,158,0
350.98039215686276,156,0
354.9019607843137,159,0
358.8235294117647,138,0
362.7450980392157,148,0
366.66666666666663,146,0
370.5882352941177,135,0
374.5098039215686,122,0
378.43137254901956,134,0
382.3529411764706,137,0
386.27450980392155,138,0
390.1960784313725,135,0
394.11764705882354,176,0
398.0392156862745,126,0
401.96078431372547,121,0
405.88235294117646,135,0
409.8039215686274,205,0
413.72549019607845,97,0
417.6470588235294,116,0
421.56862745098033,125,0
425.4901960784314,101,0
429.4117647058823,105,0
433.3333333333333,101,0
437.2549019607843,107,0
441.17647058823525,86,0
445.0980392156863,98,0
449.01960784313724,76,0
452.9411764705882,79,0
456.8627450980392,82,0
460.78431372549016,98,0
464.70588235294116,84,0
468.62745098039215,92,0
472.5490196078431,70,0
476.47058823529414,81,0
480.3921568627451,93,0
484.313725490196,93,0
488.2352941176471,335,0
492.156862745098,238,0
496.078431372549,87,0
500.0,88,0
503.92156862745094,113,0
507.84313725490193,85,0
511.7647058823529,67,0
515.686274509804,82,0
519.6078431372548,66,0
523.5294117647059,70,0
527.4509803921569,71,0
531.3725490196077,65,0
535.2941176470588,68,0
539.2156862745098,123,0
543.1372549019608,151,0
547.0588235294117,66,0
550.9803921568628,44,0
554.9019607843137,66,0
558.8235294117646,92,0
562.7450980392157,65,0
566.6666666666666,57,0
570.5882352941176,58,0
574.5098039215686,55,0
578.4313725490197,63,0
582.3529411764705,58,0
586.2745098039215,51,0
590.1960784313726,43,0
594.1176470588234,53,0
598.0392156862745,67,0
601.9607843137255,163,0
605.8823529411765,74,0
609.8039215686274,66,0
613.7254901960785,123,0
617.6470588235294,66,0
621.5686274509803,53,0
625.4901960784314,67,0
629.4117647058823,57,0
633.3333333333333,50,0
637.2549019607843,68,0
641.1764705882352,60,0
645.0980392156862,61,0
649.0196078431372,54,0
652.9411764705883,64,0
656.8627450980391,92,0
660.7843137254902,93,0
664.7058823529412,63,0
668.627450980392,68,0
672.5490196078431,66,0
676.4705882352941,48,0
680.3921568627451,42,0
684.313725490196,41,0
688.2352941176471,47,0
692.156862745098,50,0
696.078431372549,38,0
700.0,52,0
703.9215686274509,42,0
707.8431372549019,36,0
711.7647058823529,20,0
715.686274509804,29,0
719.6078431372548,23,0
723.5294117647059,36,0
727.4509803921569,24,0
731.3725490196077,21,0
735.2941176470588,17,0
739.2156862745098,28,0
743.1372549019608,23,0
747.0588235294117,12,0
750.9803921568628,13,0
754.9019607843137,61,0
758.8235294117646,22,0
762.7450980392157,19,0
766.6666666666666,48,0
770.5882352941176,249,0
774.5098039215686,57,0
778.4313725490196,11,0
782.3529411764705,16,0
786.2745098039215,12,0
790.1960784313726,15,0
794.1176470588234,18,0
798.0392156862745,15,0
801.9607843137255,25,0
805.8823529411764,32,0
809.8039215686274,26,0
813.7254901960785,17,0
817.6470588235294,23,0
821.5686274509803,16,0
825.4901960784314,19,0
829.4117647058823,14,0
833.3333333333333,13,0
837.2549019607843,9,0
841.1764705882352,21,0
845.0980392156862,20,0
849.0196078431372,14,0
852.9411764705883,14,0
856.8627450980391,11,0
860.7843137254902,19,0
864.7058823529412,11,0
868.627450980392,13,0
872.5490196078431,15,0
876.4705882352941,8,0
880.392156862745,6,0
884.313725490196,10,0
888.2352941176471,10,0
892.156862745098,6,0
896.078431372549,5,0
900.0,9,0
903.9215686274509,7,0
907.8431372549019,9,0
911.7647058823529,10,0
915.6862745098039,4,0
919.6078431372548,13,0
923.5294117647059,17,0
927.4509803921569,7,0
931.3725490196077,5,0
935.2941176470588,7,0
939.2156862745098,4,0
943.1372549019607,7,0
947.0588235294117,8,0
950.9803921568628,5,0
954.9019607843137,6,0
958.8235294117646,17,0
962.7450980392157,56,0
966.6666666666666,12,0
970.5882352941176,1,0
974.5098039215686,6,0
978.4313725490196,1,0
982.3529411764705,4,0
986.2745098039215,1,0
990.1960784313726,2,0
994.1176470588234,4,0
998.0392156862745,2,0
