pulseheight,counts_ch_A,counts_ch_B
5.05050505050505,1,0
15.15151515151515,100,0
25.252525252525253,1015,0
35.35353535353535,11350,0
45.45454545454545,5572,0
55.55555555555556,5163,0
65.65656565656565,5711,0
75.75757575757575,5234,0
85.85858585858585,5451,0
95.95959595959596,3326,0
106.06060606060606,3830,0
116.16161616161615,2166,0
126.26262626262624,4011,0
136.36363636363635,1907,0
146.46464646464645,1511,0
156.56565656565655,4812,0
166.66666666666666,1183,0
176.76767676767676,1275,0
186.86868686868686,1213,0
196.96969696969697,805,0
207.07070707070704,698,0
217.17171717171715,590,0
227.27272727272725,591,0
237.37373737373736,496,0
247.47474747474746,532,0
257.57575757575756,575,0
267.67676767676767,2746,0
277.7777777777777,339,0
287.8787878787879,431,0
297.9797979797979,365,0
308.0808080808081,355,0
318.18181818181813,325,0
328.2828282828283,347,0
338.38383838383834,513,0
348.4848484848485,355,0
358.58585858585855,306,0
368.6868686868687,326,0
378.78787878787875,323,0
388.8888888888889,353,0
398.98989898989896,367,0
409.09090909090907,350,0
419.19191919191917,253,0
429.2929292929292,249,0
439.3939393939394,245,0
449.4949494949494,218,0
459.5959595959596,202,0
469.69696969696963,194,0
479.7979797979798,209,0
489.89898989898984,587,0
500.0,220,0
510.10101010101005,184,0
520.2020202020201,172,0
530.3030303030303,171,0
540.4040404040404,282,0
550.5050505050505,145,0
560.6060606060605,170,0
570.7070707070707,147,0
580.8080808080808,114,0
590.9090909090909,118,0
601.0101010101009,236,0
611.1111111111111,193,0
621.2121212121212,128,0
631.3131313131313,136,0
641.4141414141413,136,0
651.5151515151515,156,0
661.6161616161615,186,0
671.7171717171716,139,0
681.8181818181818,97,0
691.9191919191919,91,0
702.020202020202,96,0
712.121212121212,59,0
722.2222222222222,66,0
732.3232323232323,53,0
742.4242424242424,59,0
752.5252525252524,89,0
762.6262626262626,50,0
772.7272727272727,300,0
782.8282828282828,38,0
792.9292929292928,33,0
803.030303030303,56,0
813.1313131313132,33,0
823.2323232323231,36,0
833.3333333333333,45,0
843.4343434343434,33,0
853.5353535353535,23,0
863.6363636363635,27,0
873.7373737373737,17,0
883.8383838383838,19,0
893.9393939393939,20,0
904.0404040404039,13,0
914.1414141414141,11,0
924.2424242424242,19,0
934.3434343434343,13,0
944.4444444444443,15,0
954.5454545454545,7,0
964.6464646464647,58,0
974.7474747474746,11,0
984.8484848484848,5,0
994.9494949494949,6,0
